Question,Answer
What are the benefits of the Polaris product?,"The Polaris product has a fantastic effect  with people often asking where the customer bought the wallpaper from. It is easy to apply  and the materials are very high quality  allowing for simple and good application. The product has a ""wow"" result that exceeds the customer's expectations  creating a ""sondertechnik-highlight"" in the room and an absolute eye-catcher."
How long does it take to receive my order outside of Europe?,Shipping to countries outside Europe usually takes 4 to 10 business days.
What is the VOC limit for the Decobase product  and how much does the product contain?,The VOC limit for the Decobase product is 30 g/l  and the product contains less than 30 g/l.
How is the Polaris product delivered?,The Polaris product is delivered quickly  even for national shipments  and the amount of primer and paint provided is sufficient for the intended area.
What shipping carriers do you use?,Depending on the order size  shipments are made via UPS  FedEx  DHL  DB Schenker  or Rohlig Suus.
What tools do I need to apply the Polaris paint finish?,The tools you need to apply the Polaris paint finish include: - Stainless Steel Trowel - €14.90 (Sold out) - Paint Roller Set - €14.90 (Sold out)
What are the features of the Polaris product samples?,Our samples are handmade so you can be sure that the samples you get in hand are as authentic and true to the result you can achieve as possible.
Where should the Polaris and Decobase products be kept?,Both the Polaris and Decobase products should be kept out of reach of children.
How long does the Polaris decorative paint kit take to dry?,The Polaris decorative paint kit has a drying time of 24 hours.
What tools are required for the Polaris decorative paint kit?,The tools required for the Polaris decorative paint kit include a paint roller  a venetian trowel  and fine sandpaper. You can purchase the paint roller and venetian trowel at [buy here].
What color options are available for the Polaris product?,"The Polaris product is available in different color variants  with the ""Angry Ocean"" color being a level above the others."
What is the address of the Polaris product manufacturer?,The address of the Polaris product manufacturer is Supraslska 25  16-010 Wasilkow  Poland.
What is the VOC limit for the Polaris product  and how much does the product contain?,The VOC (Volatile Organic Compounds) limit for the Polaris product is 200 g/l  and the product contains less than 200 g/l.
Can the estimated delivery times change?,Yes  the estimated delivery times provided are subject to change due to unforeseen events beyond our control.
What is included in the Polaris decorative paint kit?,The Polaris decorative paint kit includes Decobase paint and Polaris paint.
Are there any resources available to help with the Polaris product?,The Polaris product has instructional videos on YouTube that are helpful for the different variants.
What are the safety warnings for the Decobase product?,The Decobase product warning states that hazardous respirable droplets may be formed when sprayed  and users should not breathe the spray or mist.
How long does it take to receive a large order that requires pallet shipping?,For large orders requiring pallet shipping  the standard delivery time may extend by approximately 2 days.
How does the Polaris paint create a shimmering effect?,The shimmering effect of the Polaris paint intensifies with the strength of the light source  making it an ideal choice for modern  glamorous interiors or for anyone looking to elevate their space.
How long does it take to receive my order within the European Union?,Delivery time within the European Union is usually 2 to 5 business days.
Where can I find the instructions for applying the Polaris paint finish?,The instructions for applying the Polaris paint finish can be found at Instruction.
How long does it take for my order to be dispatched?,Orders are dispatched within 48 business hours after payment is received.
What is the coverage of the Polaris decorative paint kit?,One set of the Polaris decorative paint kit is sufficient to cover approximately 7m² of a wall's surface.
How much does the Polaris Colour Card cost?,The Polaris Colour Card costs €2.99.
Where can I find the technical data sheet for the Decobase product?,The technical data sheet for the Decobase product is available at TDS Decobase.
What is the Polaris decorative paint?,Polaris paint is a decorative paint for interior use that brings walls to life with a mesmerizing blend of shadows and reflections  accompanied by subtle glittering flecks.
How should the Polaris and Decobase products be disposed of?,Both the Polaris and Decobase products should not be disposed of into the sewage system  and the contents/containers should be disposed of in a licensed waste disposal facility.
Where can I view the Polaris Colour Card?,You can view the Polaris Colour Card at the following links: Polaris Colour Card Polaris Colour Card
What is the coverage of the Polaris decorative paint kit?,The Polaris decorative paint kit has a coverage of approximately 7 m²/set.
What is the email address of the responsible person for the Polaris product?,The email address of the responsible person for the Polaris product is shop@primacol.com.
What are the hazardous ingredients in the Polaris product?,The Polaris product contains the following hazardous ingredients: C(M)IT/MIT (3:1)  reaction mass of 5-chloro-2-methyl-2H-isothiazol-3-one and 2-methyl-2H-isothiazol-3-one (3:1)  and 1 2-benzisothiazol-3(2H)-one. These ingredients may produce an allergic reaction.
